champion,wins,games played,winrate
overall,1002,1905,52.6
Twitch,44,66,66.7
Darius,31,54,57.4
Jinx,33,53,62.3
Vladimir,25,50,50.0
Garen,24,50,48.0
Tristana,30,49,61.2
Vayne,27,48,56.2
Yasuo,32,48,66.7
Kaisa,24,47,51.1
Ryze,28,47,59.6
Caitlyn,31,46,67.4
Xayah,24,45,53.3
Jhin,23,45,51.1
Sivir,19,36,52.8
Akali,19,36,52.8
Kayle,20,35,57.1
Jax,16,35,45.7
MasterYi,20,34,58.8
KogMaw,22,31,71.0
Graves,20,30,66.7
Ezreal,13,30,43.3
MissFortune,17,29,58.6
Amumu,11,29,37.9
Veigar,17,29,58.6
Kassadin,11,25,44.0
Illaoi,12,25,48.0
Draven,13,24,54.2
Shen,5,23,21.7
Viktor,10,23,43.5
Quinn,14,22,63.6
Nautilus,16,21,76.2
Ashe,11,21,52.4
Xerath,14,20,70.0
Nasus,10,20,50.0
Katarina,6,20,30.0
Ahri,9,19,47.4
Sona,12,19,63.2
Varus,9,17,52.9
Swain,7,17,41.2
Urgot,7,16,43.8
Lucian,5,16,31.2
Khazix,8,16,50.0
Azir,9,16,56.2
Brand,10,16,62.5
Trundle,6,16,37.5
XinZhao,8,15,53.3
Kayn,2,14,14.3
Leona,9,14,64.3
Talon,6,13,46.2
Morgana,6,12,50.0
Blitzcrank,5,12,41.7
Alistar,5,12,41.7
Maokai,3,12,25.0
Heimerdinger,5,12,41.7
Lux,6,11,54.5
DrMundo,3,10,30.0
Taric,5,10,50.0
MonkeyKing,9,10,90.0
Rakan,7,10,70.0
Teemo,3,9,33.3
Olaf,3,9,33.3
Singed,7,8,87.5
Ziggs,4,8,50.0
Mordekaiser,5,8,62.5
Karthus,4,8,50.0
Braum,4,8,50.0
Kindred,5,8,62.5
Galio,5,8,62.5
Volibear,2,7,28.6
Camille,4,7,57.1
Cassiopeia,0,7,0.0
Pantheon,3,7,42.9
Chogath,3,7,42.9
Nami,3,7,42.9
Kalista,2,7,28.6
Fiora,4,7,57.1
Riven,4,6,66.7
Rammus,3,6,50.0
RekSai,3,6,50.0
Lissandra,3,6,50.0
Annie,3,6,50.0
Zyra,2,6,33.3
Pyke,3,6,50.0
Aatrox,2,6,33.3
Malphite,1,6,16.7
Vi,2,5,40.0
Janna,2,5,40.0
Velkoz,3,5,60.0
Karma,1,5,20.0
Tryndamere,0,5,0.0
Renekton,2,5,40.0
Fiddlesticks,2,5,40.0
Soraka,4,5,80.0
Lulu,3,5,60.0
Senna,2,5,40.0
Ornn,3,4,75.0
Sett,2,4,50.0
Kled,3,4,75.0
Thresh,2,4,50.0
Sion,1,4,25.0
Gnar,3,4,75.0
Nunu,4,4,100.0
Udyr,1,3,33.3
Fizz,2,3,66.7
TahmKench,0,3,0.0
Diana,2,3,66.7
Corki,0,3,0.0
Kennen,1,3,33.3
Yorick,1,3,33.3
Irelia,2,3,66.7
Sejuani,2,3,66.7
Anivia,2,3,66.7
TwistedFate,2,3,66.7
Warwick,1,2,50.0
Nocturne,1,2,50.0
Hecarim,1,2,50.0
LeeSin,1,2,50.0
Ekko,0,2,0.0
Shaco,0,2,0.0
Rumble,1,2,50.0
Orianna,0,2,0.0
Syndra,2,2,100.0
Skarner,2,2,100.0
Evelynn,1,1,100.0
Gragas,0,1,0.0
Zed,0,1,0.0
Zac,0,1,0.0
Gangplank,0,1,0.0
Malzahar,0,1,0.0
Neeko,0,1,0.0
Rengar,0,1,0.0
Taliyah,0,1,0.0
Ivern,0,0,0.0
Sylas,0,0,0.0
Shyvana,0,0,0.0
Zoe,0,0,0.0
Zilean,0,0,0.0
Nidalee,0,0,0.0
Yuumi,0,0,0.0
Poppy,0,0,0.0
Qiyana,0,0,0.0
Aphelios,0,0,0.0
AurelionSol,0,0,0.0
Bard,0,0,0.0
Elise,0,0,0.0
Leblanc,0,0,0.0
JarvanIV,0,0,0.0
Jayce,0,0,0.0
