champion,wins,games played,winrate
overall,830,1448,57.3
Zed,40,79,50.6
Alistar,43,67,64.2
Fizz,39,56,69.6
Lissandra,34,51,66.7
Nautilus,36,49,73.5
Pyke,28,47,59.6
JarvanIV,27,47,57.4
Ekko,26,46,56.5
Gangplank,25,45,55.6
Zac,28,43,65.1
Akali,21,38,55.3
Bard,13,37,35.1
Mordekaiser,26,33,78.8
Singed,18,32,56.2
Aatrox,17,30,56.7
Vladimir,21,30,70.0
Rakan,19,29,65.5
Leona,15,28,53.6
Blitzcrank,19,27,70.4
Malphite,12,26,46.2
Velkoz,11,25,44.0
Galio,16,25,64.0
Shyvana,12,23,52.2
MonkeyKing,15,21,71.4
Katarina,12,21,57.1
Ziggs,10,19,52.6
Brand,12,19,63.2
Braum,11,17,64.7
Kennen,8,16,50.0
Darius,10,15,66.7
Taric,10,15,66.7
Swain,7,14,50.0
Garen,8,14,57.1
Gragas,7,14,50.0
Volibear,7,14,50.0
Maokai,7,13,53.8
Jayce,9,13,69.2
TahmKench,5,13,38.5
Gnar,9,13,69.2
Thresh,5,12,41.7
Nasus,7,12,58.3
Illaoi,7,11,63.6
Trundle,7,11,63.6
KogMaw,7,11,63.6
Morgana,9,11,81.8
DrMundo,4,9,44.4
Fiddlesticks,5,9,55.6
Ornn,5,9,55.6
Shen,2,9,22.2
MasterYi,4,8,50.0
Viktor,4,7,57.1
Talon,3,7,42.9
Sion,2,7,28.6
LeeSin,5,7,71.4
Nunu,3,6,50.0
Poppy,3,6,50.0
Soraka,0,6,0.0
MissFortune,1,6,16.7
Jax,0,5,0.0
Twitch,2,5,40.0
Kassadin,3,5,60.0
Urgot,2,4,50.0
Jhin,2,4,50.0
Diana,4,4,100.0
TwistedFate,1,4,25.0
Renekton,0,4,0.0
Amumu,3,4,75.0
Kayn,1,4,25.0
Graves,2,4,50.0
Zyra,1,4,25.0
Sett,2,3,66.7
Rumble,3,3,100.0
Irelia,1,3,33.3
Hecarim,3,3,100.0
Sona,3,3,100.0
XinZhao,3,3,100.0
Janna,1,3,33.3
Xerath,2,3,66.7
Lux,1,3,33.3
Yasuo,0,3,0.0
Tryndamere,1,2,50.0
Zoe,1,2,50.0
Udyr,0,2,0.0
Leblanc,1,2,50.0
Pantheon,1,2,50.0
Yuumi,1,2,50.0
Rengar,1,2,50.0
Yorick,0,2,0.0
Karma,1,2,50.0
Cassiopeia,0,1,0.0
Teemo,0,1,0.0
Malzahar,0,1,0.0
Warwick,0,1,0.0
Sivir,1,1,100.0
Tristana,0,1,0.0
Xayah,1,1,100.0
Ezreal,0,1,0.0
Syndra,1,1,100.0
Skarner,1,1,100.0
Nocturne,0,1,0.0
Sejuani,0,1,0.0
Kayle,0,1,0.0
Varus,0,1,0.0
Riven,1,1,100.0
Karthus,1,1,100.0
Vi,0,1,0.0
Annie,0,1,0.0
Chogath,1,1,100.0
Orianna,0,1,0.0
Anivia,0,1,0.0
Zilean,0,0,0.0
Camille,0,0,0.0
Veigar,0,0,0.0
Vayne,0,0,0.0
Fiora,0,0,0.0
Taliyah,0,0,0.0
Lulu,0,0,0.0
Azir,0,0,0.0
Heimerdinger,0,0,0.0
Ivern,0,0,0.0
AurelionSol,0,0,0.0
Jinx,0,0,0.0
Kaisa,0,0,0.0
Kalista,0,0,0.0
Evelynn,0,0,0.0
Khazix,0,0,0.0
Kindred,0,0,0.0
Kled,0,0,0.0
Elise,0,0,0.0
Ashe,0,0,0.0
Lucian,0,0,0.0
Draven,0,0,0.0
Sylas,0,0,0.0
Ahri,0,0,0.0
Nami,0,0,0.0
Aphelios,0,0,0.0
Neeko,0,0,0.0
Nidalee,0,0,0.0
Caitlyn,0,0,0.0
Olaf,0,0,0.0
Quinn,0,0,0.0
Rammus,0,0,0.0
RekSai,0,0,0.0
Ryze,0,0,0.0
Senna,0,0,0.0
Shaco,0,0,0.0
Corki,0,0,0.0
Qiyana,0,0,0.0
