champion,wins,games played,winrate
overall,709,1417,50.0
Heimerdinger,42,78,53.8
RekSai,32,70,45.7
Amumu,34,55,61.8
Nidalee,25,53,47.2
Ornn,19,47,40.4
Anivia,14,42,33.3
Sona,29,41,70.7
Zilean,18,39,46.2
DrMundo,24,35,68.6
Syndra,10,34,29.4
Maokai,22,31,71.0
Veigar,19,31,61.3
Gnar,13,31,41.9
TahmKench,17,30,56.7
Morgana,16,29,55.2
Zyra,15,29,51.7
Nunu,13,26,50.0
Shen,11,23,47.8
Fiddlesticks,12,22,54.5
Malzahar,9,22,40.9
Xerath,13,21,61.9
Sion,14,21,66.7
Nasus,11,20,55.0
Soraka,9,20,45.0
Braum,11,20,55.0
Zoe,4,20,20.0
Velkoz,11,19,57.9
Brand,12,19,63.2
Lux,9,19,47.4
Karthus,9,19,47.4
Illaoi,11,18,61.1
Blitzcrank,12,18,66.7
Trundle,10,17,58.8
Malphite,8,17,47.1
Alistar,14,17,82.4
Sejuani,5,16,31.2
TwistedFate,11,16,68.8
Teemo,8,15,53.3
Ziggs,8,15,53.3
Nautilus,7,15,46.7
Orianna,9,15,60.0
Zac,5,15,33.3
Rammus,6,13,46.2
Ryze,2,12,16.7
Taric,8,12,66.7
Garen,4,12,33.3
Nami,5,11,45.5
Bard,2,11,18.2
Varus,6,11,54.5
Thresh,8,11,72.7
Lulu,3,9,33.3
Leona,4,9,44.4
Janna,5,8,62.5
Skarner,4,8,50.0
Chogath,5,8,62.5
Corki,2,6,33.3
Karma,3,6,50.0
Singed,3,6,50.0
Warwick,4,6,66.7
Shyvana,2,6,33.3
Ahri,3,5,60.0
Sivir,1,5,20.0
Olaf,3,5,60.0
Gragas,1,5,20.0
Poppy,2,4,50.0
LeeSin,1,4,25.0
Lucian,1,4,25.0
Jinx,1,3,33.3
Urgot,0,3,0.0
Graves,0,3,0.0
Udyr,0,3,0.0
MissFortune,2,3,66.7
Darius,0,3,0.0
Ashe,2,3,66.7
Riven,0,3,0.0
Jax,1,3,33.3
Volibear,1,3,33.3
Annie,2,3,66.7
Hecarim,2,2,100.0
Jhin,0,2,0.0
Pyke,1,2,50.0
Yorick,0,2,0.0
Caitlyn,0,2,0.0
Vi,1,2,50.0
Leblanc,1,2,50.0
AurelionSol,1,1,100.0
Tristana,0,1,0.0
Taliyah,0,1,0.0
Viktor,0,1,0.0
JarvanIV,0,1,0.0
Cassiopeia,0,1,0.0
Ezreal,0,1,0.0
Ekko,0,1,0.0
Kayle,0,1,0.0
Fizz,1,1,100.0
Kalista,0,1,0.0
Jayce,0,1,0.0
Ivern,0,1,0.0
Xayah,0,0,0.0
Yasuo,0,0,0.0
XinZhao,0,0,0.0
Zed,0,0,0.0
Tryndamere,0,0,0.0
Sylas,0,0,0.0
Twitch,0,0,0.0
Vladimir,0,0,0.0
Talon,0,0,0.0
Swain,0,0,0.0
Vayne,0,0,0.0
Yuumi,0,0,0.0
Aatrox,0,0,0.0
Shaco,0,0,0.0
Kennen,0,0,0.0
Katarina,0,0,0.0
Kassadin,0,0,0.0
Kaisa,0,0,0.0
Irelia,0,0,0.0
Gangplank,0,0,0.0
Galio,0,0,0.0
Fiora,0,0,0.0
Evelynn,0,0,0.0
Elise,0,0,0.0
Draven,0,0,0.0
Diana,0,0,0.0
Camille,0,0,0.0
Azir,0,0,0.0
Aphelios,0,0,0.0
Akali,0,0,0.0
Kayn,0,0,0.0
Khazix,0,0,0.0
Sett,0,0,0.0
Kindred,0,0,0.0
Senna,0,0,0.0
Rumble,0,0,0.0
Rengar,0,0,0.0
Renekton,0,0,0.0
Rakan,0,0,0.0
Quinn,0,0,0.0
Qiyana,0,0,0.0
Pantheon,0,0,0.0
Nocturne,0,0,0.0
Neeko,0,0,0.0
MonkeyKing,0,0,0.0
MasterYi,0,0,0.0
Lissandra,0,0,0.0
KogMaw,0,0,0.0
Kled,0,0,0.0
Mordekaiser,0,0,0.0
