champion,wins,games played,winrate
overall,584,1288,45.3
Lulu,19,34,55.9
Kassadin,10,33,30.3
Blitzcrank,17,29,58.6
Ashe,11,26,42.3
Amumu,10,26,38.5
Nautilus,10,24,41.7
Leblanc,7,24,29.2
Alistar,14,24,58.3
Senna,10,24,41.7
Viktor,12,24,50.0
Thresh,14,23,60.9
Varus,14,22,63.6
Ziggs,11,22,50.0
Jinx,9,20,45.0
Lux,9,20,45.0
Twitch,4,19,21.1
Vayne,13,19,68.4
Lucian,10,19,52.6
Trundle,13,19,68.4
Ornn,8,19,42.1
Malphite,8,18,44.4
Graves,11,18,61.1
Sona,13,18,72.2
Brand,8,17,47.1
Leona,10,17,58.8
Orianna,6,17,35.3
Jayce,10,17,58.8
Jhin,8,17,47.1
Udyr,11,16,68.8
Maokai,7,15,46.7
Fizz,4,15,26.7
Ezreal,9,15,60.0
Syndra,4,15,26.7
Xerath,6,15,40.0
Morgana,8,15,53.3
DrMundo,8,15,53.3
Zac,7,15,46.7
Janna,5,14,35.7
MonkeyKing,9,14,64.3
Corki,6,13,46.2
Gnar,4,13,30.8
Karma,4,12,33.3
Veigar,7,12,58.3
Shen,5,12,41.7
TwistedFate,4,12,33.3
Rumble,5,11,45.5
Galio,5,11,45.5
MissFortune,5,11,45.5
Braum,6,11,54.5
Rengar,2,10,20.0
Nasus,4,10,40.0
KogMaw,5,10,50.0
Chogath,9,10,90.0
Ahri,4,9,44.4
MasterYi,3,9,33.3
Karthus,3,9,33.3
Caitlyn,3,9,33.3
Yuumi,4,9,44.4
Xayah,5,9,55.6
Vladimir,6,9,66.7
Tristana,4,9,44.4
Rakan,2,8,25.0
Warwick,4,8,50.0
AurelionSol,2,8,25.0
Hecarim,5,8,62.5
Zed,1,8,12.5
Azir,4,8,50.0
Teemo,2,8,25.0
Nami,6,8,75.0
Sivir,2,7,28.6
Nunu,4,7,57.1
LeeSin,3,7,42.9
Sion,4,7,57.1
Kaisa,1,7,14.3
Khazix,3,6,50.0
Quinn,2,6,33.3
Soraka,3,6,50.0
Annie,5,6,83.3
Riven,2,6,33.3
JarvanIV,1,6,16.7
Aphelios,0,5,0.0
Talon,1,5,20.0
Volibear,1,5,20.0
Yasuo,1,5,20.0
Jax,1,5,20.0
Ekko,1,5,20.0
Singed,2,5,40.0
Darius,2,5,40.0
Nidalee,2,5,40.0
Pyke,2,4,50.0
Poppy,1,4,25.0
Nocturne,2,4,50.0
Lissandra,3,4,75.0
Anivia,0,4,0.0
Sejuani,3,4,75.0
Swain,1,3,33.3
Taric,1,3,33.3
Vi,1,3,33.3
Velkoz,0,3,0.0
Zilean,1,3,33.3
TahmKench,1,3,33.3
Mordekaiser,0,3,0.0
Kennen,0,3,0.0
Kindred,1,3,33.3
Garen,3,3,100.0
Irelia,2,3,66.7
Katarina,0,3,0.0
Kayle,1,3,33.3
Diana,1,3,33.3
Cassiopeia,0,3,0.0
Evelynn,1,3,33.3
Rammus,3,3,100.0
Akali,1,2,50.0
XinZhao,0,2,0.0
Fiora,0,2,0.0
Gangplank,0,2,0.0
Heimerdinger,0,2,0.0
Shyvana,1,2,50.0
Zoe,0,2,0.0
Renekton,1,2,50.0
Olaf,2,2,100.0
Qiyana,0,1,0.0
Skarner,0,1,0.0
Pantheon,0,1,0.0
Kalista,1,1,100.0
Malzahar,0,1,0.0
Zyra,1,1,100.0
Draven,1,1,100.0
Neeko,0,1,0.0
Gragas,0,1,0.0
Sett,0,1,0.0
Fiddlesticks,0,1,0.0
Shaco,1,1,100.0
Camille,0,0,0.0
Yorick,0,0,0.0
Bard,0,0,0.0
Urgot,0,0,0.0
Elise,0,0,0.0
Illaoi,0,0,0.0
Ivern,0,0,0.0
Tryndamere,0,0,0.0
Kayn,0,0,0.0
Kled,0,0,0.0
Taliyah,0,0,0.0
Sylas,0,0,0.0
RekSai,0,0,0.0
Ryze,0,0,0.0
Aatrox,0,0,0.0
