champion,wins,games played,winrate
Veigar,5,5,1.0
Sona,4,5,0.8
Sivir,4,5,0.8
Tristana,2,4,0.5
Lucian,4,4,1.0
Nautilus,2,4,0.5
Jhin,3,4,0.75
Jinx,3,4,0.75
Ashe,4,4,1.0
Soraka,4,4,1.0
TwistedFate,1,3,0.3333333333333333
Vayne,1,3,0.3333333333333333
Leblanc,2,3,0.6666666666666666
Chogath,2,3,0.6666666666666666
Maokai,3,3,1.0
MasterYi,3,3,1.0
MissFortune,2,2,1.0
Hecarim,2,2,1.0
Yuumi,1,2,0.5
Garen,2,2,1.0
Karthus,2,2,1.0
Twitch,1,2,0.5
Leona,2,2,1.0
Thresh,2,2,1.0
Amumu,0,2,0.0
JarvanIV,1,1,1.0
Illaoi,0,1,0.0
Nunu,1,1,1.0
Ivern,1,1,1.0
Lulu,1,1,1.0
Nasus,0,1,0.0
Morgana,1,1,1.0
Karma,0,1,0.0
Kassadin,1,1,1.0
Sylas,0,1,0.0
Lux,1,1,1.0
Mordekaiser,1,1,1.0
Quinn,1,1,1.0
Xayah,1,1,1.0
Varus,1,1,1.0
Zac,0,1,0.0
Zed,0,1,0.0
Vladimir,0,1,0.0
Ekko,1,1,1.0
Ezreal,0,1,0.0
Draven,1,1,1.0
Brand,1,1,1.0
Fizz,0,1,0.0
Rammus,0,0,0.0
Shen,0,0,0.0
Shaco,0,0,0.0
Yasuo,0,0,0.0
Yorick,0,0,0.0
Rakan,0,0,0.0
Sett,0,0,0.0
Senna,0,0,0.0
Rengar,0,0,0.0
Renekton,0,0,0.0
Ziggs,0,0,0.0
Zilean,0,0,0.0
Ryze,0,0,0.0
XinZhao,0,0,0.0
Rumble,0,0,0.0
RekSai,0,0,0.0
Riven,0,0,0.0
Zoe,0,0,0.0
Sejuani,0,0,0.0
Trundle,0,0,0.0
Xerath,0,0,0.0
Syndra,0,0,0.0
Udyr,0,0,0.0
Teemo,0,0,0.0
Urgot,0,0,0.0
Qiyana,0,0,0.0
Talon,0,0,0.0
Taliyah,0,0,0.0
TahmKench,0,0,0.0
Velkoz,0,0,0.0
Vi,0,0,0.0
Shyvana,0,0,0.0
Swain,0,0,0.0
Viktor,0,0,0.0
Skarner,0,0,0.0
Volibear,0,0,0.0
Sion,0,0,0.0
Warwick,0,0,0.0
Singed,0,0,0.0
Tryndamere,0,0,0.0
Taric,0,0,0.0
Aatrox,0,0,0.0
Pyke,0,0,0.0
Corki,0,0,0.0
Graves,0,0,0.0
Gragas,0,0,0.0
Gnar,0,0,0.0
Gangplank,0,0,0.0
Galio,0,0,0.0
Fiora,0,0,0.0
Fiddlesticks,0,0,0.0
Evelynn,0,0,0.0
Elise,0,0,0.0
DrMundo,0,0,0.0
Diana,0,0,0.0
Darius,0,0,0.0
Cassiopeia,0,0,0.0
Poppy,0,0,0.0
Camille,0,0,0.0
Caitlyn,0,0,0.0
Braum,0,0,0.0
Blitzcrank,0,0,0.0
Bard,0,0,0.0
Azir,0,0,0.0
AurelionSol,0,0,0.0
Aphelios,0,0,0.0
Annie,0,0,0.0
Anivia,0,0,0.0
Alistar,0,0,0.0
Akali,0,0,0.0
Heimerdinger,0,0,0.0
Irelia,0,0,0.0
Janna,0,0,0.0
Jax,0,0,0.0
Pantheon,0,0,0.0
Ornn,0,0,0.0
Orianna,0,0,0.0
Olaf,0,0,0.0
Nocturne,0,0,0.0
Nidalee,0,0,0.0
Neeko,0,0,0.0
Nami,0,0,0.0
Ahri,0,0,0.0
MonkeyKing,0,0,0.0
Malzahar,0,0,0.0
Malphite,0,0,0.0
Lissandra,0,0,0.0
LeeSin,0,0,0.0
KogMaw,0,0,0.0
Kled,0,0,0.0
Kindred,0,0,0.0
Khazix,0,0,0.0
Kennen,0,0,0.0
Kayn,0,0,0.0
Kayle,0,0,0.0
Katarina,0,0,0.0
Kalista,0,0,0.0
Kaisa,0,0,0.0
Jayce,0,0,0.0
Zyra,0,0,0.0
