champion,wins,games played,winrate
overall,111,203,54.7
Zilean,8,14,57.1
Nidalee,5,13,38.5
RekSai,9,11,81.8
Amumu,8,11,72.7
Zoe,4,9,44.4
Soraka,5,8,62.5
Ziggs,4,8,50.0
Malphite,6,8,75.0
Heimerdinger,3,8,37.5
Nasus,3,7,42.9
Syndra,3,6,50.0
Nunu,4,6,66.7
Teemo,3,5,60.0
Lux,3,4,75.0
Morgana,0,4,0.0
Sivir,3,4,75.0
Blitzcrank,2,4,50.0
Garen,2,3,66.7
Sejuani,2,3,66.7
Singed,1,3,33.3
Rammus,2,3,66.7
Illaoi,2,3,66.7
Leona,1,2,50.0
Swain,2,2,100.0
Velkoz,1,2,50.0
Sona,1,2,50.0
TahmKench,0,2,0.0
Lulu,2,2,100.0
Nami,1,2,50.0
Orianna,2,2,100.0
Zac,0,2,0.0
Ryze,1,2,50.0
Ornn,1,2,50.0
Braum,1,2,50.0
Karthus,2,2,100.0
Trundle,1,2,50.0
Olaf,0,1,0.0
Neeko,0,1,0.0
Sion,1,1,100.0
Nautilus,0,1,0.0
Shen,0,1,0.0
Poppy,0,1,0.0
Kennen,0,1,0.0
Kayle,0,1,0.0
Ahri,0,1,0.0
Maokai,1,1,100.0
Rengar,0,1,0.0
Bard,0,1,0.0
Ivern,0,1,0.0
Xerath,1,1,100.0
Corki,0,1,0.0
Fiddlesticks,1,1,100.0
Chogath,1,1,100.0
Brand,1,1,100.0
Gangplank,0,1,0.0
Gnar,1,1,100.0
Veigar,0,1,0.0
Hecarim,1,1,100.0
Ashe,0,1,0.0
DrMundo,1,1,100.0
Varus,0,1,0.0
Urgot,1,1,100.0
Jax,1,1,100.0
Annie,0,1,0.0
Anivia,1,1,100.0
Alistar,1,1,100.0
Yasuo,0,0,0.0
Shaco,0,0,0.0
Sett,0,0,0.0
Senna,0,0,0.0
Zed,0,0,0.0
Yuumi,0,0,0.0
Shyvana,0,0,0.0
Yorick,0,0,0.0
Zyra,0,0,0.0
Rumble,0,0,0.0
Volibear,0,0,0.0
XinZhao,0,0,0.0
Xayah,0,0,0.0
Tristana,0,0,0.0
Twitch,0,0,0.0
Thresh,0,0,0.0
Udyr,0,0,0.0
Taric,0,0,0.0
Talon,0,0,0.0
Taliyah,0,0,0.0
Sylas,0,0,0.0
Vayne,0,0,0.0
Vi,0,0,0.0
Viktor,0,0,0.0
Skarner,0,0,0.0
Vladimir,0,0,0.0
TwistedFate,0,0,0.0
Warwick,0,0,0.0
Tryndamere,0,0,0.0
Aatrox,0,0,0.0
Riven,0,0,0.0
Renekton,0,0,0.0
Jayce,0,0,0.0
JarvanIV,0,0,0.0
Janna,0,0,0.0
Irelia,0,0,0.0
Graves,0,0,0.0
Gragas,0,0,0.0
Galio,0,0,0.0
Fizz,0,0,0.0
Fiora,0,0,0.0
Ezreal,0,0,0.0
Evelynn,0,0,0.0
Elise,0,0,0.0
Ekko,0,0,0.0
Draven,0,0,0.0
Diana,0,0,0.0
Darius,0,0,0.0
Cassiopeia,0,0,0.0
Camille,0,0,0.0
Caitlyn,0,0,0.0
Azir,0,0,0.0
AurelionSol,0,0,0.0
Aphelios,0,0,0.0
Akali,0,0,0.0
Jhin,0,0,0.0
Jinx,0,0,0.0
Kaisa,0,0,0.0
Lucian,0,0,0.0
Rakan,0,0,0.0
Quinn,0,0,0.0
Qiyana,0,0,0.0
Pyke,0,0,0.0
Pantheon,0,0,0.0
Nocturne,0,0,0.0
MonkeyKing,0,0,0.0
MissFortune,0,0,0.0
MasterYi,0,0,0.0
Malzahar,0,0,0.0
Lissandra,0,0,0.0
Kalista,0,0,0.0
LeeSin,0,0,0.0
Leblanc,0,0,0.0
KogMaw,0,0,0.0
Kled,0,0,0.0
Kindred,0,0,0.0
Khazix,0,0,0.0
Kayn,0,0,0.0
Katarina,0,0,0.0
Kassadin,0,0,0.0
Karma,0,0,0.0
Mordekaiser,0,0,0.0
