champion,wins,games played,winrate
overall,143,263,54.4
Yasuo,6,11,54.5
Xayah,1,10,10.0
Orianna,6,10,60.0
Varus,5,8,62.5
TwistedFate,6,8,75.0
Corki,5,8,62.5
Kaisa,4,8,50.0
Jinx,4,7,57.1
Sivir,3,7,42.9
Irelia,4,6,66.7
XinZhao,1,5,20.0
Veigar,3,5,60.0
Lucian,2,5,40.0
Kayle,2,5,40.0
MissFortune,4,5,80.0
Ezreal,3,5,60.0
Karthus,4,4,100.0
Jhin,1,4,25.0
Jax,3,4,75.0
Shyvana,2,4,50.0
Tristana,2,4,50.0
Riven,3,4,75.0
Renekton,3,4,75.0
Fizz,2,4,50.0
Galio,1,4,25.0
DrMundo,3,4,75.0
Yorick,3,4,75.0
Braum,3,3,100.0
Trundle,3,3,100.0
Singed,2,3,66.7
Nasus,3,3,100.0
Sona,1,3,33.3
Xerath,3,3,100.0
Brand,2,3,66.7
Caitlyn,2,3,66.7
Ryze,1,3,33.3
Lux,3,3,100.0
Draven,1,3,33.3
KogMaw,1,3,33.3
Gangplank,0,3,0.0
Udyr,2,3,66.7
Malphite,2,2,100.0
Anivia,1,2,50.0
Fiddlesticks,0,2,0.0
Vayne,1,2,50.0
Ashe,1,2,50.0
Blitzcrank,1,2,50.0
Darius,0,2,0.0
Soraka,1,2,50.0
Alistar,2,2,100.0
Twitch,0,2,0.0
Zoe,0,2,0.0
Quinn,2,2,100.0
Chogath,0,2,0.0
Zed,0,2,0.0
Nunu,1,1,100.0
Nidalee,0,1,0.0
Olaf,0,1,0.0
Nautilus,0,1,0.0
Poppy,1,1,100.0
Ornn,0,1,0.0
Tryndamere,1,1,100.0
Pyke,0,1,0.0
Sion,1,1,100.0
Taric,1,1,100.0
Teemo,0,1,0.0
Thresh,1,1,100.0
Morgana,1,1,100.0
Viktor,1,1,100.0
Vladimir,0,1,0.0
Volibear,0,1,0.0
Warwick,1,1,100.0
Zac,0,1,0.0
Nami,0,1,0.0
Mordekaiser,1,1,100.0
Khazix,1,1,100.0
MonkeyKing,0,1,0.0
Kennen,0,1,0.0
Diana,0,1,0.0
Cassiopeia,1,1,100.0
Gragas,0,1,0.0
Graves,0,1,0.0
Jayce,1,1,100.0
LeeSin,1,1,100.0
Hecarim,0,1,0.0
Heimerdinger,1,1,100.0
Lissandra,1,1,100.0
Lulu,1,1,100.0
Malzahar,0,1,0.0
Akali,1,1,100.0
MasterYi,1,1,100.0
Vi,0,0,0.0
Illaoi,0,0,0.0
Gnar,0,0,0.0
Urgot,0,0,0.0
Garen,0,0,0.0
Fiora,0,0,0.0
Ivern,0,0,0.0
Evelynn,0,0,0.0
Velkoz,0,0,0.0
Ahri,0,0,0.0
Elise,0,0,0.0
Ekko,0,0,0.0
JarvanIV,0,0,0.0
Camille,0,0,0.0
Bard,0,0,0.0
Azir,0,0,0.0
AurelionSol,0,0,0.0
Aphelios,0,0,0.0
Yuumi,0,0,0.0
Annie,0,0,0.0
Amumu,0,0,0.0
Ziggs,0,0,0.0
Zilean,0,0,0.0
Zyra,0,0,0.0
Janna,0,0,0.0
Sylas,0,0,0.0
Talon,0,0,0.0
Rumble,0,0,0.0
Neeko,0,0,0.0
Maokai,0,0,0.0
Nocturne,0,0,0.0
Leona,0,0,0.0
Pantheon,0,0,0.0
Leblanc,0,0,0.0
Qiyana,0,0,0.0
Kled,0,0,0.0
Rakan,0,0,0.0
Rammus,0,0,0.0
RekSai,0,0,0.0
Kindred,0,0,0.0
Rengar,0,0,0.0
Sejuani,0,0,0.0
Taliyah,0,0,0.0
Senna,0,0,0.0
Sett,0,0,0.0
Shaco,0,0,0.0
Shen,0,0,0.0
Kayn,0,0,0.0
Katarina,0,0,0.0
Kassadin,0,0,0.0
Karma,0,0,0.0
Skarner,0,0,0.0
Kalista,0,0,0.0
Swain,0,0,0.0
Syndra,0,0,0.0
TahmKench,0,0,0.0
Aatrox,0,0,0.0
