champion,wins,games played,winrate
overall,441,860,51.3
Caitlyn,26,42,61.9
MonkeyKing,14,32,43.8
Orianna,12,27,44.4
Jhin,17,26,65.4
Varus,16,22,72.7
Veigar,15,21,71.4
Sona,13,20,65.0
Nasus,11,20,55.0
Ashe,10,20,50.0
Xerath,15,19,78.9
Corki,9,19,47.4
JarvanIV,8,19,42.1
Ezreal,6,19,31.6
Zac,12,18,66.7
TwistedFate,10,15,66.7
Blitzcrank,9,14,64.3
Garen,8,14,57.1
Lux,8,14,57.1
MissFortune,5,14,35.7
Quinn,6,14,42.9
DrMundo,6,13,46.2
Kayn,10,13,76.9
Neeko,7,13,53.8
Jinx,7,13,53.8
Chogath,8,13,61.5
Twitch,5,12,41.7
Kayle,7,12,58.3
KogMaw,4,12,33.3
Fiddlesticks,6,11,54.5
Viktor,3,11,27.3
Tristana,5,11,45.5
Shen,5,10,50.0
Sivir,5,10,50.0
Trundle,8,10,80.0
Amumu,5,10,50.0
Kled,4,9,44.4
Graves,4,9,44.4
Warwick,6,9,66.7
Xayah,5,9,55.6
Rumble,3,8,37.5
Annie,4,8,50.0
Ziggs,4,8,50.0
Nocturne,5,8,62.5
Brand,5,7,71.4
Draven,3,7,42.9
Karthus,1,6,16.7
Kaisa,4,6,66.7
Vayne,2,6,33.3
Darius,5,6,83.3
Skarner,2,5,40.0
Velkoz,2,5,40.0
Ivern,4,5,80.0
Ryze,2,5,40.0
Yorick,2,5,40.0
Nidalee,2,5,40.0
Nautilus,2,5,40.0
Kalista,2,4,50.0
Vladimir,1,4,25.0
Shaco,2,4,50.0
Sejuani,2,4,50.0
Renekton,1,4,25.0
Shyvana,0,4,0.0
Sion,1,4,25.0
Irelia,1,4,25.0
Hecarim,2,4,50.0
Volibear,1,3,33.3
Udyr,1,3,33.3
Olaf,2,3,66.7
Nunu,2,3,66.7
Illaoi,1,3,33.3
Swain,1,3,33.3
Ekko,1,3,33.3
Karma,1,3,33.3
LeeSin,0,3,0.0
Rengar,2,3,66.7
Kindred,1,3,33.3
Fizz,1,3,33.3
Aphelios,0,3,0.0
MasterYi,1,3,33.3
Malzahar,1,3,33.3
Malphite,2,3,66.7
Zyra,1,3,33.3
Syndra,2,3,66.7
Jax,2,2,100.0
Leona,0,2,0.0
Ahri,2,2,100.0
Heimerdinger,0,2,0.0
Lucian,1,2,50.0
Lulu,1,2,50.0
Gnar,1,2,50.0
Galio,2,2,100.0
XinZhao,1,2,50.0
Lissandra,1,2,50.0
Sylas,1,1,100.0
Tryndamere,0,1,0.0
Taric,1,1,100.0
Zed,0,1,0.0
Urgot,0,1,0.0
Yasuo,0,1,0.0
Vi,0,1,0.0
Zilean,0,1,0.0
TahmKench,0,1,0.0
Talon,0,1,0.0
Teemo,0,1,0.0
Mordekaiser,0,1,0.0
Singed,0,1,0.0
Ornn,0,1,0.0
Kassadin,0,1,0.0
Khazix,0,1,0.0
Leblanc,0,1,0.0
Maokai,1,1,100.0
Morgana,1,1,100.0
Nami,1,1,100.0
Braum,0,1,0.0
Evelynn,0,1,0.0
Qiyana,0,1,0.0
Rakan,0,1,0.0
Rammus,0,1,0.0
Alistar,0,1,0.0
Camille,0,0,0.0
Elise,0,0,0.0
Diana,0,0,0.0
Akali,0,0,0.0
Cassiopeia,0,0,0.0
AurelionSol,0,0,0.0
Zoe,0,0,0.0
Azir,0,0,0.0
Fiora,0,0,0.0
Bard,0,0,0.0
Yuumi,0,0,0.0
Anivia,0,0,0.0
Katarina,0,0,0.0
Gangplank,0,0,0.0
Gragas,0,0,0.0
Janna,0,0,0.0
Jayce,0,0,0.0
Sett,0,0,0.0
Kennen,0,0,0.0
Thresh,0,0,0.0
Pantheon,0,0,0.0
Poppy,0,0,0.0
Pyke,0,0,0.0
Taliyah,0,0,0.0
RekSai,0,0,0.0
Soraka,0,0,0.0
Riven,0,0,0.0
Senna,0,0,0.0
Aatrox,0,0,0.0
