champion,wins,games played,winrate
overall,1161,2252,51.6
Ezreal,39,81,48.1
Thresh,41,72,56.9
Garen,39,69,56.5
Braum,31,65,47.7
Sona,41,61,67.2
Jayce,35,60,58.3
TwistedFate,29,58,50.0
Blitzcrank,35,58,60.3
Ornn,40,57,70.2
Sylas,33,57,57.9
Morgana,32,56,57.1
Alistar,30,50,60.0
Karma,25,45,55.6
Galio,23,45,51.1
Chogath,25,41,61.0
Volibear,28,37,75.7
Yuumi,18,37,48.6
Nautilus,16,35,45.7
Lux,19,35,54.3
Swain,23,34,67.6
Varus,21,34,61.8
Janna,20,34,58.8
Shen,16,33,48.5
Veigar,17,31,54.8
Sion,17,31,54.8
Jax,13,31,41.9
Ashe,14,30,46.7
Ryze,7,30,23.3
Amumu,20,30,66.7
Gragas,15,29,51.7
Rakan,13,28,46.4
JarvanIV,15,28,53.6
DrMundo,15,27,55.6
Taric,16,27,59.3
Soraka,12,25,48.0
MonkeyKing,7,24,29.2
Pantheon,8,24,33.3
MissFortune,11,22,50.0
Kayn,9,21,42.9
Urgot,10,21,47.6
Nunu,9,20,45.0
Lulu,8,20,40.0
Leona,8,20,40.0
Vladimir,11,20,55.0
Malphite,12,19,63.2
Mordekaiser,9,19,47.4
Velkoz,7,18,38.9
Sett,10,18,55.6
Kennen,11,18,61.1
Senna,10,16,62.5
Renekton,9,16,56.2
Jhin,7,15,46.7
Zac,7,14,50.0
Yasuo,4,14,28.6
Nami,10,14,71.4
Teemo,8,13,61.5
Maokai,6,12,50.0
Aatrox,2,12,16.7
Warwick,2,12,16.7
Xerath,6,12,50.0
Poppy,5,11,45.5
Singed,6,11,54.5
Ivern,6,10,60.0
Ziggs,5,10,50.0
Sejuani,3,10,30.0
Rumble,5,10,50.0
Pyke,3,9,33.3
Nasus,3,9,33.3
Kaisa,3,9,33.3
Brand,3,9,33.3
Skarner,5,8,62.5
Corki,3,8,37.5
Ekko,3,8,37.5
Tristana,4,7,57.1
Zyra,3,7,42.9
Sivir,3,7,42.9
Karthus,1,7,14.3
TahmKench,4,7,57.1
Kindred,2,7,28.6
Zilean,4,7,57.1
Gnar,3,6,50.0
Heimerdinger,2,6,33.3
Olaf,2,6,33.3
Kayle,1,5,20.0
Akali,4,5,80.0
Taliyah,2,5,40.0
Caitlyn,1,5,20.0
Lissandra,1,5,20.0
Annie,2,5,40.0
Darius,3,5,60.0
Hecarim,2,4,50.0
Shyvana,1,4,25.0
Illaoi,1,4,25.0
Rammus,2,4,50.0
Yorick,0,4,0.0
Malzahar,0,4,0.0
Fiddlesticks,1,4,25.0
Zoe,0,4,0.0
Trundle,3,4,75.0
Graves,3,4,75.0
Lucian,2,3,66.7
Xayah,3,3,100.0
Orianna,0,3,0.0
Fiora,2,3,66.7
Diana,2,3,66.7
Neeko,1,3,33.3
Viktor,0,3,0.0
Khazix,0,2,0.0
Camille,1,2,50.0
Vi,1,2,50.0
Udyr,0,2,0.0
Gangplank,1,2,50.0
LeeSin,1,2,50.0
Riven,1,2,50.0
MasterYi,1,2,50.0
Nidalee,1,2,50.0
Anivia,0,1,0.0
Twitch,0,1,0.0
Kassadin,1,1,100.0
Vayne,0,1,0.0
Kalista,1,1,100.0
Ahri,0,1,0.0
Cassiopeia,0,1,0.0
Irelia,0,1,0.0
Nocturne,0,1,0.0
Qiyana,0,1,0.0
Syndra,0,1,0.0
KogMaw,0,1,0.0
Shaco,0,1,0.0
Tryndamere,0,1,0.0
Rengar,0,0,0.0
Fizz,0,0,0.0
Evelynn,0,0,0.0
Zed,0,0,0.0
Quinn,0,0,0.0
Elise,0,0,0.0
RekSai,0,0,0.0
Bard,0,0,0.0
XinZhao,0,0,0.0
Katarina,0,0,0.0
Draven,0,0,0.0
Leblanc,0,0,0.0
Talon,0,0,0.0
Aphelios,0,0,0.0
Kled,0,0,0.0
AurelionSol,0,0,0.0
Azir,0,0,0.0
Jinx,0,0,0.0
