champion,wins,games played,winrate
overall,154,289,53.3
Nidalee,12,19,63.2
Veigar,9,15,60.0
RekSai,10,15,66.7
Zilean,6,14,42.9
Heimerdinger,9,13,69.2
Nunu,8,13,61.5
Amumu,7,12,58.3
Syndra,5,11,45.5
Maokai,7,10,70.0
Teemo,6,10,60.0
Shen,4,10,40.0
Alistar,4,9,44.4
Brand,3,9,33.3
Zyra,4,9,44.4
Karthus,4,7,57.1
Morgana,4,6,66.7
DrMundo,4,6,66.7
Zoe,1,5,20.0
Garen,3,5,60.0
Thresh,3,5,60.0
Ornn,2,5,40.0
Ashe,1,4,25.0
Sona,1,4,25.0
Lux,2,4,50.0
Malphite,3,4,75.0
Zac,2,4,50.0
Janna,3,4,75.0
Corki,1,3,33.3
Chogath,0,3,0.0
Skarner,2,3,66.7
Nami,2,2,100.0
Shyvana,1,2,50.0
Taric,0,2,0.0
Karma,1,2,50.0
Udyr,2,2,100.0
Sivir,2,2,100.0
Ahri,1,2,50.0
Braum,0,2,0.0
Annie,1,2,50.0
Ziggs,1,2,50.0
Sejuani,0,2,0.0
Fiddlesticks,1,1,100.0
Cassiopeia,0,1,0.0
Soraka,0,1,0.0
Darius,1,1,100.0
Leona,1,1,100.0
LeeSin,0,1,0.0
Ryze,0,1,0.0
TahmKench,1,1,100.0
Kindred,1,1,100.0
Xerath,1,1,100.0
Poppy,0,1,0.0
Illaoi,1,1,100.0
Varus,1,1,100.0
Riven,0,1,0.0
Orianna,0,1,0.0
Olaf,1,1,100.0
Vi,1,1,100.0
Anivia,0,1,0.0
Trundle,0,1,0.0
Rammus,0,1,0.0
TwistedFate,1,1,100.0
Gangplank,1,1,100.0
Velkoz,1,1,100.0
Ivern,0,1,0.0
Hecarim,0,1,0.0
Katarina,0,1,0.0
Singed,0,0,0.0
Rumble,0,0,0.0
Shaco,0,0,0.0
Sett,0,0,0.0
Senna,0,0,0.0
Tristana,0,0,0.0
Sion,0,0,0.0
Swain,0,0,0.0
Zed,0,0,0.0
Yuumi,0,0,0.0
Yorick,0,0,0.0
Yasuo,0,0,0.0
XinZhao,0,0,0.0
Xayah,0,0,0.0
Warwick,0,0,0.0
Volibear,0,0,0.0
Vladimir,0,0,0.0
Viktor,0,0,0.0
Vayne,0,0,0.0
Urgot,0,0,0.0
Twitch,0,0,0.0
Rengar,0,0,0.0
Talon,0,0,0.0
Taliyah,0,0,0.0
Sylas,0,0,0.0
Tryndamere,0,0,0.0
Aatrox,0,0,0.0
Renekton,0,0,0.0
Evelynn,0,0,0.0
Jayce,0,0,0.0
Jax,0,0,0.0
JarvanIV,0,0,0.0
Irelia,0,0,0.0
Graves,0,0,0.0
Gragas,0,0,0.0
Gnar,0,0,0.0
Galio,0,0,0.0
Fizz,0,0,0.0
Fiora,0,0,0.0
Ezreal,0,0,0.0
Elise,0,0,0.0
Rakan,0,0,0.0
Ekko,0,0,0.0
Draven,0,0,0.0
Diana,0,0,0.0
Camille,0,0,0.0
Caitlyn,0,0,0.0
Blitzcrank,0,0,0.0
Bard,0,0,0.0
Azir,0,0,0.0
AurelionSol,0,0,0.0
Aphelios,0,0,0.0
Akali,0,0,0.0
Jhin,0,0,0.0
Jinx,0,0,0.0
Kaisa,0,0,0.0
Kalista,0,0,0.0
Quinn,0,0,0.0
Qiyana,0,0,0.0
Pyke,0,0,0.0
Pantheon,0,0,0.0
Nocturne,0,0,0.0
Neeko,0,0,0.0
Nautilus,0,0,0.0
Nasus,0,0,0.0
MonkeyKing,0,0,0.0
MissFortune,0,0,0.0
MasterYi,0,0,0.0
Malzahar,0,0,0.0
Lulu,0,0,0.0
Lucian,0,0,0.0
Lissandra,0,0,0.0
Leblanc,0,0,0.0
KogMaw,0,0,0.0
Kled,0,0,0.0
Khazix,0,0,0.0
Kennen,0,0,0.0
Kayn,0,0,0.0
Kayle,0,0,0.0
Kassadin,0,0,0.0
Mordekaiser,0,0,0.0
