champion,wins,games played,winrate
overall,509,1161,43.8
Xayah,22,50,44.0
Kaisa,21,47,44.7
Caitlyn,18,45,40.0
Twitch,23,44,52.3
Jinx,24,44,54.5
Sivir,30,44,68.2
Ashe,25,43,58.1
KogMaw,20,43,46.5
Jhin,15,36,41.7
Tristana,14,34,41.2
Vayne,11,31,35.5
Varus,18,30,60.0
MissFortune,12,30,40.0
Irelia,12,28,42.9
Kindred,13,26,50.0
Ezreal,13,25,52.0
Quinn,14,23,60.9
Lux,13,23,56.5
Lucian,11,22,50.0
Kayle,9,20,45.0
Veigar,6,20,30.0
Azir,5,18,27.8
Ryze,3,17,17.6
Katarina,5,16,31.2
MasterYi,4,15,26.7
Corki,6,15,40.0
Kalista,9,14,64.3
Vladimir,5,14,35.7
Sona,9,14,64.3
Kassadin,3,13,23.1
Leblanc,1,11,9.1
Orianna,3,10,30.0
AurelionSol,5,9,55.6
Draven,2,9,22.2
Nasus,4,9,44.4
Teemo,5,9,55.6
LeeSin,6,9,66.7
Ahri,2,8,25.0
Poppy,5,8,62.5
Heimerdinger,2,8,25.0
Blitzcrank,3,8,37.5
Akali,2,8,25.0
Diana,2,8,25.0
Zed,4,7,57.1
Syndra,4,7,57.1
Morgana,3,7,42.9
Fizz,1,7,14.3
Fiora,3,7,42.9
Ziggs,2,7,28.6
Ekko,1,7,14.3
Camille,4,6,66.7
Taliyah,3,5,60.0
Talon,3,5,60.0
Senna,2,5,40.0
Yasuo,2,5,40.0
Cassiopeia,1,5,20.0
Annie,3,4,75.0
Renekton,1,4,25.0
Aphelios,1,4,25.0
Neeko,1,4,25.0
MonkeyKing,3,4,75.0
Janna,2,4,50.0
Karthus,4,4,100.0
XinZhao,2,4,50.0
Viktor,0,4,0.0
Kennen,0,4,0.0
Anivia,1,3,33.3
Pyke,1,3,33.3
Zoe,2,3,66.7
Jax,2,3,66.7
Lissandra,0,3,0.0
Leona,3,3,100.0
Warwick,1,3,33.3
Singed,0,3,0.0
Thresh,0,3,0.0
Brand,2,3,66.7
Soraka,1,2,50.0
Urgot,0,2,0.0
Rakan,1,2,50.0
TwistedFate,0,2,0.0
Tryndamere,0,2,0.0
Qiyana,0,2,0.0
Yuumi,2,2,100.0
Aatrox,0,2,0.0
Malphite,1,2,50.0
Malzahar,0,2,0.0
Darius,0,2,0.0
Amumu,2,2,100.0
Chogath,0,2,0.0
Gangplank,1,2,50.0
Kayn,0,1,0.0
Khazix,0,1,0.0
Velkoz,0,1,0.0
Sylas,0,1,0.0
TahmKench,0,1,0.0
Elise,0,1,0.0
Pantheon,1,1,100.0
JarvanIV,0,1,0.0
Illaoi,0,1,0.0
Trundle,0,1,0.0
Graves,0,1,0.0
Fiddlesticks,1,1,100.0
Ornn,1,1,100.0
Gragas,0,1,0.0
Zilean,0,1,0.0
Zyra,0,1,0.0
Shaco,1,1,100.0
Alistar,0,1,0.0
Xerath,0,1,0.0
Sejuani,0,1,0.0
Riven,0,1,0.0
Yorick,0,1,0.0
Nocturne,0,1,0.0
Zac,0,1,0.0
Bard,0,1,0.0
Gnar,0,0,0.0
Garen,0,0,0.0
DrMundo,0,0,0.0
Galio,0,0,0.0
Udyr,0,0,0.0
Vi,0,0,0.0
Evelynn,0,0,0.0
Volibear,0,0,0.0
Braum,0,0,0.0
Taric,0,0,0.0
Hecarim,0,0,0.0
Maokai,0,0,0.0
Olaf,0,0,0.0
Nunu,0,0,0.0
Nidalee,0,0,0.0
Nautilus,0,0,0.0
Rammus,0,0,0.0
RekSai,0,0,0.0
Nami,0,0,0.0
Rengar,0,0,0.0
Rumble,0,0,0.0
Sett,0,0,0.0
Ivern,0,0,0.0
Shen,0,0,0.0
Shyvana,0,0,0.0
Sion,0,0,0.0
Lulu,0,0,0.0
Skarner,0,0,0.0
Kled,0,0,0.0
Swain,0,0,0.0
Karma,0,0,0.0
Jayce,0,0,0.0
Mordekaiser,0,0,0.0
