champion,wins,games played,winrate
overall,321,605,53.1
Singed,16,24,66.7
Yasuo,16,22,72.7
Draven,10,17,58.8
Shaco,8,14,57.1
Gangplank,9,13,69.2
Thresh,4,12,33.3
Lucian,3,11,27.3
Blitzcrank,8,11,72.7
Sion,5,9,55.6
Taric,4,9,44.4
Hecarim,5,9,55.6
Chogath,1,9,11.1
Morgana,4,9,44.4
Akali,4,9,44.4
Swain,5,8,62.5
Azir,4,8,50.0
Talon,2,8,25.0
Riven,7,8,87.5
MonkeyKing,2,8,25.0
Galio,3,7,42.9
Irelia,5,7,71.4
Ivern,4,7,57.1
Kalista,3,7,42.9
Pyke,4,7,57.1
Olaf,3,7,42.9
Ornn,4,7,57.1
Gnar,4,7,57.1
Caitlyn,4,7,57.1
Vayne,4,7,57.1
Vladimir,3,7,42.9
Lux,4,6,66.7
Jayce,3,6,50.0
Graves,4,6,66.7
Aatrox,2,6,33.3
Amumu,4,5,80.0
Leona,3,5,60.0
Annie,3,5,60.0
Sylas,5,5,100.0
MasterYi,2,5,40.0
Kayn,4,5,80.0
Soraka,3,5,60.0
Katarina,2,5,40.0
Karthus,3,5,60.0
Viktor,5,5,100.0
Tryndamere,1,5,20.0
Brand,2,5,40.0
Zac,3,5,60.0
Shyvana,2,5,40.0
Fiora,3,5,60.0
Shen,1,5,20.0
Braum,4,5,80.0
Rengar,3,5,60.0
Sivir,2,4,50.0
Sona,3,4,75.0
Nasus,2,4,50.0
Nautilus,0,4,0.0
Ahri,3,4,75.0
DrMundo,2,4,50.0
AurelionSol,1,4,25.0
Tristana,2,4,50.0
Mordekaiser,2,4,50.0
KogMaw,3,4,75.0
Ezreal,1,4,25.0
Fizz,3,4,75.0
Zyra,1,4,25.0
Zed,2,4,50.0
Varus,2,4,50.0
Anivia,1,4,25.0
Kassadin,1,4,25.0
Leblanc,2,4,50.0
Twitch,3,3,100.0
Zoe,1,3,33.3
Yorick,3,3,100.0
Bard,1,3,33.3
Alistar,1,3,33.3
Vi,0,3,0.0
Xerath,3,3,100.0
Volibear,3,3,100.0
Velkoz,2,3,66.7
Veigar,2,3,66.7
Ashe,2,3,66.7
Teemo,1,3,33.3
Urgot,1,3,33.3
Rakan,1,3,33.3
Garen,2,3,66.7
Gragas,2,3,66.7
Kled,3,3,100.0
Kayle,1,3,33.3
Darius,1,3,33.3
Malzahar,1,3,33.3
Malphite,1,3,33.3
Diana,1,3,33.3
MissFortune,1,3,33.3
Jinx,1,3,33.3
JarvanIV,1,3,33.3
Karma,1,2,50.0
LeeSin,1,2,50.0
Trundle,2,2,100.0
Aphelios,1,2,50.0
Jhin,2,2,100.0
Maokai,2,2,100.0
Fiddlesticks,1,2,50.0
Poppy,1,2,50.0
Rammus,2,2,100.0
RekSai,1,2,50.0
Ryze,1,2,50.0
Nidalee,0,1,0.0
TwistedFate,0,1,0.0
Neeko,0,1,0.0
Khazix,0,1,0.0
Kennen,1,1,100.0
Kaisa,0,1,0.0
Corki,0,1,0.0
Xayah,1,1,100.0
Pantheon,0,1,0.0
XinZhao,1,1,100.0
Yuumi,0,1,0.0
Qiyana,0,1,0.0
Ziggs,1,1,100.0
Zilean,0,1,0.0
Heimerdinger,1,1,100.0
Udyr,0,1,0.0
Ekko,0,1,0.0
Nami,1,1,100.0
Rumble,1,1,100.0
Lulu,1,1,100.0
Skarner,0,1,0.0
Cassiopeia,1,1,100.0
Nocturne,1,1,100.0
Nunu,0,1,0.0
Taliyah,0,1,0.0
Sett,0,1,0.0
Syndra,0,1,0.0
Camille,0,0,0.0
Jax,0,0,0.0
Illaoi,0,0,0.0
Janna,0,0,0.0
Quinn,0,0,0.0
TahmKench,0,0,0.0
Senna,0,0,0.0
Lissandra,0,0,0.0
Warwick,0,0,0.0
Sejuani,0,0,0.0
Evelynn,0,0,0.0
Renekton,0,0,0.0
Elise,0,0,0.0
Orianna,0,0,0.0
Kindred,0,0,0.0
