champion,wins,games played,winrate
overall,39,52,75.0
Maokai,6,6,100.0
Amumu,3,3,100.0
Heimerdinger,2,2,100.0
Sona,2,2,100.0
Xerath,2,2,100.0
Fiddlesticks,1,2,50.0
Garen,2,2,100.0
Nasus,2,2,100.0
Nidalee,0,2,0.0
Nami,1,2,50.0
Hecarim,0,1,0.0
Nunu,1,1,100.0
Thresh,0,1,0.0
Teemo,1,1,100.0
Janna,1,1,100.0
Syndra,1,1,100.0
Karthus,1,1,100.0
Ahri,1,1,100.0
Morgana,1,1,100.0
Sivir,1,1,100.0
Sion,1,1,100.0
Shen,0,1,0.0
Lulu,1,1,100.0
Lux,0,1,0.0
Malzahar,1,1,100.0
Lucian,1,1,100.0
JarvanIV,0,1,0.0
Ornn,0,1,0.0
Brand,0,1,0.0
Braum,0,1,0.0
Zilean,1,1,100.0
Annie,1,1,100.0
Zoe,0,1,0.0
Velkoz,1,1,100.0
Zac,1,1,100.0
Veigar,1,1,100.0
Akali,1,1,100.0
Rumble,0,0,0.0
Ryze,0,0,0.0
Sejuani,0,0,0.0
Senna,0,0,0.0
Yorick,0,0,0.0
Sett,0,0,0.0
Yuumi,0,0,0.0
Riven,0,0,0.0
RekSai,0,0,0.0
Zed,0,0,0.0
Rengar,0,0,0.0
Renekton,0,0,0.0
Ziggs,0,0,0.0
Rammus,0,0,0.0
Rakan,0,0,0.0
Zyra,0,0,0.0
Quinn,0,0,0.0
Qiyana,0,0,0.0
Pyke,0,0,0.0
Shaco,0,0,0.0
Varus,0,0,0.0
Urgot,0,0,0.0
Poppy,0,0,0.0
Udyr,0,0,0.0
Twitch,0,0,0.0
TwistedFate,0,0,0.0
Vayne,0,0,0.0
Tryndamere,0,0,0.0
Trundle,0,0,0.0
Tristana,0,0,0.0
Vi,0,0,0.0
Viktor,0,0,0.0
Taric,0,0,0.0
Vladimir,0,0,0.0
Talon,0,0,0.0
Singed,0,0,0.0
Taliyah,0,0,0.0
TahmKench,0,0,0.0
Volibear,0,0,0.0
Sylas,0,0,0.0
Swain,0,0,0.0
Soraka,0,0,0.0
Warwick,0,0,0.0
Xayah,0,0,0.0
Skarner,0,0,0.0
XinZhao,0,0,0.0
Yasuo,0,0,0.0
Shyvana,0,0,0.0
Aatrox,0,0,0.0
Pantheon,0,0,0.0
Diana,0,0,0.0
Graves,0,0,0.0
Gragas,0,0,0.0
Gnar,0,0,0.0
Gangplank,0,0,0.0
Galio,0,0,0.0
Fizz,0,0,0.0
Fiora,0,0,0.0
Ezreal,0,0,0.0
Evelynn,0,0,0.0
Elise,0,0,0.0
Ekko,0,0,0.0
DrMundo,0,0,0.0
Draven,0,0,0.0
Darius,0,0,0.0
Orianna,0,0,0.0
Corki,0,0,0.0
Chogath,0,0,0.0
Cassiopeia,0,0,0.0
Camille,0,0,0.0
Caitlyn,0,0,0.0
Blitzcrank,0,0,0.0
Bard,0,0,0.0
Azir,0,0,0.0
AurelionSol,0,0,0.0
Ashe,0,0,0.0
Aphelios,0,0,0.0
Anivia,0,0,0.0
Alistar,0,0,0.0
Illaoi,0,0,0.0
Irelia,0,0,0.0
Ivern,0,0,0.0
Jax,0,0,0.0
Olaf,0,0,0.0
Nocturne,0,0,0.0
Neeko,0,0,0.0
Nautilus,0,0,0.0
MonkeyKing,0,0,0.0
MissFortune,0,0,0.0
MasterYi,0,0,0.0
Malphite,0,0,0.0
Lissandra,0,0,0.0
Leona,0,0,0.0
LeeSin,0,0,0.0
Leblanc,0,0,0.0
KogMaw,0,0,0.0
Kled,0,0,0.0
Kindred,0,0,0.0
Khazix,0,0,0.0
Kennen,0,0,0.0
Kayn,0,0,0.0
Kayle,0,0,0.0
Katarina,0,0,0.0
Kassadin,0,0,0.0
Karma,0,0,0.0
Kalista,0,0,0.0
Kaisa,0,0,0.0
Jinx,0,0,0.0
Jhin,0,0,0.0
Jayce,0,0,0.0
Mordekaiser,0,0,0.0
